Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/4/2021,2021,Pitcher X,Right,3,1,Right,6,2,2,CURVEBALL,76.59324704,-13.61925452,-4.799811418,6.972213481,0.495284802,5.843432774,4.485132985,0.237900544,2671.266266,26.87731883,0.006465554,0.158210292,0.001022917
4/4/2021,2021,Pitcher X,Right,3,1,Right,7,3,2,CUTTER,89.68514833,8.102118482,-4.422744308,6.867055953,0.602985229,6.116391306,2.708640363,0.824629387,2247.399174,171.75837,0.656664312,0.065013692,0.042692171
4/4/2021,2021,Pitcher X,Right,3,2,Left,1,0,0,CURVEBALL,75.20604286,-10.79752517,-1.229860244,6.835396647,0.531435998,6.034702893,3.514356673,1.100627408,2522.335101,19.87487161,0.013681626,0.227521703,0.003112867
4/4/2021,2021,Pitcher X,Right,3,2,Left,2,1,0,CUTTER,88.6620966,9.113366173,-3.573018444,6.864726491,0.729159545,6.048925552,3.509550456,0.056556109,2259.469978,157.6008974,0.347467124,0.399865568,0.138940139
4/4/2021,2021,Pitcher X,Right,3,2,Left,3,1,1,CHANGEUP,83.6101373,7.351448787,13.19746077,6.699168395,0.656908588,6.142188711,1.32495816,0.728895438,1274.359978,216.5207859,0.73044759,0.494163543,0.360960569
4/4/2021,2021,Pitcher X,Right,3,2,Left,4,2,1,CUTTER,89.63181659,8.262079263,-2.176736761,6.871786633,0.735129742,6.054355466,2.505703172,-0.213387277,2272.249542,167.4074797,0.951429248,0.097370617,0.092641253
4/4/2021,2021,Pitcher X,Right,3,2,Left,5,2,2,CHANGEUP,84.10387979,10.02142581,11.80917942,6.715265794,0.585396212,6.095044718,1.517131585,0.550255384,1388.700234,213.9183453,0.931360006,0.264909565,0.246726175
4/4/2021,2021,Pitcher X,Right,3,3,Right,1,0,0,CUTTER,88.79815882,8.193481519,-4.211307472,6.896316381,0.641149101,6.148585981,2.522671782,0.484888796,2358.757387,164.6742158,4.21E-01,0.061710358,2.60E-02
4/4/2021,2021,Pitcher X,Right,3,4,Left,1,0,0,FASTBALL,92.61535528,17.91272233,-0.695591949,6.857215017,0.692662607,6.128121759,3.235528367,0.051973837,2070.94238,187.9100206,0.569434941,0.256270468,0.145929359
4/4/2021,2021,Pitcher X,Right,3,4,Left,2,0,1,CHANGEUP,82.43843575,11.66563918,10.72144128,6.687514697,0.62174633,6.101735144,1.061369803,-0.589040321,1294.56478,220.7045046,0.221830636,0.652383387,0.144718622
4/4/2021,2021,Pitcher X,Right,3,4,Left,3,1,1,CHANGEUP,81.74701309,7.089450457,13.32586974,6.720013605,0.65957124,6.179150119,2.612760451,0.965383815,1248.105489,218.5067429,0.64971453,0.15717417,0.102118342
4/4/2021,2021,Pitcher X,Right,3,4,Left,4,2,1,CUTTER,89.72381843,10.73713765,-0.923433615,6.849871133,0.540127395,6.227165977,1.364199453,-0.054869749,2289.765652,176.9367186,0.669768155,0.200633645,0.134378026
4/4/2021,2021,Pitcher X,Right,3,4,Left,5,3,1,FASTBALL,91.7209303,18.9186116,0.146646383,6.891333709,0.543713738,6.078883936,3.658262231,0.184186963,2097.647196,190.9329452,0.586120367,0.381898612,0.223838555
4/4/2021,2021,Pitcher X,Right,3,5,Left,1,0,0,CHANGEUP,83.10459857,9.617164812,12.21814664,6.662737989,0.765065754,6.165376903,2.363479848,0.326774213,1317.807625,213.565444,0.633434236,0.19644475,0.12443483
4/4/2021,2021,Pitcher X,Right,3,5,Left,2,0,1,FASTBALL,92.04874271,18.51781607,1.303318114,6.78673262,0.826122474,6.128734369,2.392998893,-0.309918575,2208.273964,220.8545246,0.89593488,0.06174472,0.055319248
4/4/2021,2021,Pitcher X,Right,4,1,Right,1,0,0,CURVEBALL,74.67275248,-16.98337416,-3.719381369,6.910326949,0.584147372,6.054373632,1.340408986,1.731387096,2576.095833,22.07800731,0.004834448,0.78968358,0.003817684
